=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.09 12:40:06 =~=~=~=~=~=~=~=~=~=~=~=
10.37, 0.0.03, -0.06, -0.16
9.26, 1.95, -4.72, 0.13, -0.40, -0.08
10.18, 1.99, -4.74, -0.18, 1.54, 0.29
10.45, 2.09, -4.14, 0.13, -0.27, 0.03
9.41, 1.97, -4.54, 0.33, -1.64, -0.41
9.45, 2.01, -4.82, -0.10, 0.78, 0.29
10.65, 2.08, -4.44, -0.21, 1.24, 0.17
10.06, 1.97, -4.19, 0.21, -1.41, -0.24
9.05, 1.89, -4.71, 0.22, -0.95, -0.22
10.13, 2.09, -4.92, -0.31, 1.88, 0.48
10.50, 2.06, -3.99, 0.02, 0.08, -0.01
9.55, 1.97, -4.53, 0.44, -2.19, -0.45
9.37, 2.05, -4.99, -0.03, 0.73, 0.17
10.54, 2.00, -4.50, -0.28, 1.88, 0.21
10.06, 2.04, -4.03, 0.26, -1.63, -0.27
9.19, 2.00, -4.83, 0.31, -1.37, -0.33
10.03, 2.13, -5.05, -0.37, 2.14, 0.68
10.33, 2.03, -3.86, -0.11, 0.35, -0.04
9.72, 2.01, -4.57, 0.42, -2.54, -0.54
9.33, 2.17, -5.05, 0.04, 0.60, 0.18
10.46, 1.98, -4.59, -0.28, 2.24, 0.27
10.08, 2.02, -3.93, 0.24, -1.61, -0.26
9.29, 2.09, -4.87, 0.33, -1.63, -0.43
10.00, 2.19, -5.04, -0.32, 2.15, 0.72
10.28, 2.07, -3.89, -0.09, 0.56, 0.05
9.85, 2.06, -4.51, 0.35, -2.55, -0.64
9.33, 2.20, -5.06, 0.01, 0.39, 0.17
10.39, 2.10, -4.61, -0.32, 2.29, 0.34
10.07, 2.02, -3.90, 0.22, -1.49, -0.18
9.32, 2.11, -4.87, 0.38, -1.79, -0.46
10.00, 2.24, -5.09, -0.28, 2.12, 0.62
10.26, 2.15, -3.88, -0.10, 0.75, 0.09
9.81, 2.12, -4.49, 0.35, -2.51, -0.65
9.25, 2.24, -5.04, 0.04, 0.25, 0.16
10.41, 2.15, -4.73, -0.32, 2.29, 0.42
10.13, 2.08, -3.92, 0.16, -1.29, -0.20
9.28, 2.12, -4.78, 0.38, -1.86, -0.48
9.95, 2.27, -5.10, -0.20, 1.88, 0.54
10.24, 2.16, -4.03, -0.07, 1.00, 0.23
9.79, 2.12, -4.39, 0.31, -2.34, -0.64
9.31, 2.23, -5.02, 0.07, -0.04, 0.06
10.47, 2.18, -4.79, -0.31, 2.28, 0.45
9.96, 2.04, -3.87, 0.12, -1.08, -0.12
9.30, 2.07, -4.80, 0.34, -1.87, -0.52
10.10, 2.27, -5.14, -0.15, 1.83, 0.53
10.23, 2.20, -4.00, -0.02, 1.00, 0.27
9.65, 2.13, -4.37, 0.28, -2.34, -0.69
9.26, 2.20, -4.97, 0.00, -0.05, 0.06
10.53, 2.28, -4.77, -0.28, 2.18, 0.45
10.09, 2.14, -3.89, 0.14, -1.03, -0.21
9.15, 2.10, -4.73, 0.30, -1.83, -0.51
9.92, 2.37, -5.07, -0.23, 1.73, 0.65
10.36, 2.31, -4.07, -0.06, 1.06, 0.30
9.69, 2.17, -4.34, 0.34, -2.32, -0.61
9.12, 2.17, -4.92, 0.07, -0.17, -0.25
10.50, 2.27, -4.84, -0.27, 2.29, 0.51
10.15, 2.20, -3.87, 0.20, -0.92, -0.05
9.16, 2.10, -4.72, 0.37, -1.91, -0.36
9.79, 2.32, -5.06, -0.27, 1.65, 0.53
10.41, 2.21, -4.04, -0.17, 1.09, 0.13
9.86, 2.12, -4.38, 0.33, -2.30, -0.57
9.08, 2.10, -4.89, 0.15, -0.14, -0.05
10.40, 2.21, -4.79, -0.23, 2.28, 0.55
10.26, 2.15, -3.86, 0.19, -0.91, -0.16
9.26, 2.12, -4.69, 0.35, -1.86, -0.51
9.75, 2.32, -5.07, -0.28, 1.60, 0.46
10.32, 2.25, -4.08, -0.19, 1.02, 0.24
9.96, 2.16, -4.41, 0.30, -2.22, -0.46
9.16, 2.09, -4.91, 0.12, -0.16, -0.05
10.34, 2.21, -4.78, -0.26, 2.20, 0.48
10.20, 2.18, -3.91, 0.16, -0.86, -0.15
9.36, 2.15, -4.72, 0.40, -1.85, -0.41
9.71, 2.26, -5.04, -0.17, 1.54, 0.42
10.29, 2.20, -4.11, -0.14, 1.07, 0.12
10.05, 2.17, -4.37, 0.29, -2.12, -0.55
9.22, 2.18, -4.91, 0.08, -0.18, -0.03
10.13, 2.29, -4.72, -0.33, 2.06, 0.55
10.19, 2.21, -3.96, 0.11, -0.86, -0.10
9.50, 2.20, -4.77, 0.35, -1.77, -0.40
9.62, 2.26, -4.97, -0.15, 1.47, 0.32
10.19, 2.25, -4.14, -0.10, 0.96, 0.16
10.04, 2.26, -4.44, 0.31, -1.95, -0.51
9.27, 2.18, -4.88, 0.13, -0.16, 0.07
10.12, 2.25, -4.68, -0.29, 1.93, 0.42
10.11, 2.26, -3.97, 0.07, -0.83, -0.15
9.53, 2.26, -4.79, 0.34, -1.69, -0.36
9.65, 2.26, -4.96, -0.11, 1.45, 0.41
10.11, 2.22, -4.12, -0.11, 0.90, 0.12
10.02, 2.28, -4.45, 0.27, -1.92, -0.59
9.32, 2.23, -4.91, 0.15, -0.11, 0.05
10.03, 2.23, -4.64, -0.20, 1.84, 0.50
10.08, 2.26, -4.06, 0.07, -0.86, -0.16
9.57, 2.25, -4.78, 0.25, -1.57, -0.42
9.70, 2.36, -4.91, -0.15, 1.49, 0.37
10.04, 2.24, -4.14, -0.04, 0.78, 0.22
9.95, 2.28, -4.47, 0.26, -1.93, -0.53
9.39, 2.22, -4.91, 0.05, -0.03, 0.03
10.08, 2.28, -4.63, -0.23, 1.83, 0.48
10.07, 2.31, -4.04, 0.13, -0.93, -0.21
9.44, 2.25, -4.75, 0.30, -1.55, -0.31
9.77, 2.35, -4.96, -0.19, 1.54, 0.39
10.10, 2.29, -4.13, -0.12, 0.81, 0.12
9.88, 2.32, -4.45, 0.28, -2.00, -0.53
9.37, 2.25, -4.93, 0.15, -0.04, 0.09
10.19, 2.23, -4.68, -0.17, 1.95, 0.48
10.03, 2.27, -3.98, 0.09, -0.90, -0.25
9.39, 2.30, -4.78, 0.29, -1.65, -0.42
9.84, 2.37, -4.96, -0.15, 1.56, 0.50
10.13, 2.23, -4.12, -0.08, 0.86, 0.20
9.83, 2.24, -4.44, 0.23, -2.05, -0.60
9.37, 2.29, -4.94, 0.10, -0.07, 0.04
10.22, 2.33, -4.67, -0.18, 2.01, 0.49
10.10, 2.22, -4.02, 0.15, -0.87, -0.12
9.35, 2.26, -4.75, 0.27, -1.68, -0.49
9.82, 2.41, -5.00, -0.22, 1.50, 0.40
10.22, 2.28, -4.14, -0.09, 0.93, 0.26
9.88, 2.26, -4.41, 0.29, -2.04, -0.55
9.30, 2.23, -4.90, 0.11, -0.17, 0.05
10.27, 2.34, -4.77, -0.26, 2.07, 0.45
10.10, 2.28, -3.98, 0.14, -0.80, -0.14
9.30, 2.29, -4.75, 0.36, -1.79, -0.43
9.75, 2.34, -5.00, -0.17, 1.48, 0.42
10.32, 2.24, -4.15, -0.11, 1.06, 0.27
9.91, 2.27, -4.39, 0.27, -2.01, -0.56
9.17, 2.21, -4.86, 0.11, -0.28, -0.00
10.22, 2.31, -4.78, -0.26, 2.04, 0.54
10.24, 2.21, -3.96, 0.11, -0.68, -0.13
9.38, 2.19, -4.72, 0.32, -1.85, -0.51
9.66, 2.31, -4.98, -0.14, 1.34, 0.35
10.29, 2.28, -4.19, -0.07, 1.20, 0.33
9.96, 2.23, -4.36, 0.31, -1.94, -0.52
9.23, 2.20, -4.90, 0.11, -0.39, -0.01
10.13, 2.29, -4.79, -0.35, 2.11, 0.46
10.08, 2.18, -3.88, 0.16, -0.85, -0.14
9.63, 2.24, -4.85, 0.40, -1.80, -0.39
9.60, 2.20, -4.98, -0.23, 1.74, 0.36
10.01, 2.17, -3.95, -0.02, 0.63, 0.18
10.20, 2.36, -4.66, 0.36, -2.01, -0.52
9.21, 2.18, -4.90, -0.04, 0.34, 0.21
9.88, 2.13, -4.44, -0.29, 1.52, 0.25
10.29, 2.29, -4.22, 0.20, -1.10, -0.17
9.64, 2.28, -4.85, 0.25, -1.10, -0.26
9.46, 2.14, -4.74, -0.12, 1.40, 0.39
10.05, 2.25, -4.15, -0.02, 0.50, 0.00
10.17, 2.34, -4.57, 0.31, -1.66, -0.50
9.45, 2.25, -4.88, 0.11, 0.12, 0.21
9.70, 2.10, -4.47, -0.21, 1.42, 0.33
10.12, 2.31, -4.24, 0.05, -0.83, -0.17
10.08, 2.36, -4.87, 0.20, -1.06, -0.31
9.40, 2.19, -4.71, -0.06, 1.05, 0.43
9.63, 2.16, -4.20, -0.12, 0.46, -0.11
10.42, 2.34, -4.60, 0.23, -1.25, -0.32
9.77, 2.33, -4.83, 0.22, 0.04, 0.23
9.41, 2.06, -4.43, -0.06, 1.01, 0.17
9.99, 2.29, -4.31, -0.03, -0.50, -0.16
10.20, 2.43, -4.78, 0.12, -0.78, -0.29
9.60, 2.20, -4.63, 0.05, 0.62, 0.39
9.56, 2.13, -4.29, -0.10, 0.40, 0.02
10.26, 2.26, -4.52, 0.04, -0.83, -0.38
9.92, 2.38, -4.72, 0.25, -0.22, 0.19
9.51, 2.18, -4.53, 0.07, 0.81, 0.15
9.80, 2.12, -4.33, -0.09, -0.02, -0.06
10.24, 2.43, -4.63, 0.13, -0.94, -0.28
9.76, 2.31, -4.73, 0.12, 0.28, 0.16
9.37, 2.10, -4.35, -0.14, 0.72, 0.24
10.19, 2.23, -4.43, 0.01, -0.79, -0.29
10.23, 2.39, -4.82, 0.16, -0.34, 0.01
9.32, 2.19, -4.45, -0.02, 0.72, 0.19
9.77, 2.18, -4.32, -0.02, -0.22, -0.16
10.26, 2.39, -4.71, 0.14, -0.52, -0.10
9.74, 2.33, -4.59, 0.06, 0.35, 0.08
9.50, 2.22, -4.34, 0.01, 0.08, 0.05
9.96, 2.36, -4.61, 0.05, -0.46, -0.14
10.00, 2.41, -4.68, -0.00, 0.13, 0.11
9.69, 2.33, -4.43, -0.02, 0.24, 0.08
9.62, 2.27, -4.46, 0.04, -0.47, -0.18
9.95, 2.37, -4.68, 0.05, -0.11, 0.09
10.04, 2.31, -4.57, 0.04, 0.46, 0.09
9.52, 2.22, -4.32, 0.12, -0.34, -0.02
9.76, 2.35, -4.67, 0.06, -0.41, -0.21
10.14, 2.36, -4.68, -0.06, 0.60, 0.25
9.66, 2.30, -4.28, 0.07, -0.11, 0.04
9.58, 2.24, -4.56, 0.08, -0.74, -0.30
9.97, 2.39, -4.78, -0.06, 0.53, 0.24
10.00, 2.29, -4.37, 0.05, 0.34, 0.03
9.55, 2.26, -4.47, 0.22, -0.86, -0.09
9.73, 2.36, -4.76, 0.01, 0.05, -0.07
10.11, 2.31, -4.56, -0.12, 0.83, 0.17
9.72, 2.29, -4.28, 0.15, -0.61, -0.05
9.64, 2.29, -4.70, 0.14, -0.70, -0.19
9.92, 2.34, -4.72, -0.10, 0.86, 0.32
9.96, 2.26, -4.30, -0.02, 0.21, -0.08
9.70, 2.31, -4.53, 0.19, -1.01, -0.21
9.64, 2.36, -4.80, 0.06, 0.17, 0.12
10.04, 2.25, -4.52, -0.05, 0.81, 0.17
9.84, 2.25, -4.35, 0.10, -0.61, -0.15
9.67, 2.34, -4.70, 0.11, -0.64, -0.20
9.86, 2.39, -4.69, -0.05, 0.79, 0.35
9.82, 2.25, -4.27, -0.03, 0.15, -0.05
9.83, 2.30, -4.58, 0.13, -0.99, -0.25
9.74, 2.46, -4.79, 0.03, 0.26, 0.08
9.85, 2.33, -4.41, -0.04, 0.71, 0.14
9.84, 2.34, -4.37, 0.15, -0.70, -0.10
9.81, 2.36, -4.72, 0.14, -0.45, -0.14
9.80, 2.36, -4.64, -0.06, 0.79, 0.27
9.79, 2.34, -4.31, -0.05, 0.01, -0.04
9.93, 2.32, -4.58, 0.14, -0.90, -0.22
9.73, 2.36, -4.72, 0.10, 0.21, 0.20
9.80, 2.26, -4.50, -0.08, 0.66, 0.04
9.89, 2.30, -4.38, 0.03, -0.55, -0.03
9
